Genome	clusters	
NIPH-Bru43_2015NIPH	Eastern Mediterranean	
NIPH-Bru44_2015NIPH	Eastern Mediterranean	
NIPH-Bru45_2016NIPH	Eastern Mediterranean	
NIPH-Bru46_2016	Africa	
NIPH-Bru47_2016NIPH	Eastern Mediterranean	
NIPH-Bru48_2016NIPH	Eastern Mediterranean	
NIPH-Bru4_2006	Africa	
NIPH-Bru5_1999NIPH	Eastern Mediterranean	
NIPH-Bru6_1999NIPH	Eastern Mediterranean	
NIPH-Bru7_2002NIPH	Eastern Mediterranean	
NIPH-Bru8_2003NIPH	Eastern Mediterranean	
NIPH-Bru9_2003	Africa	
NI_2007NIPH	Eastern Mediterranean	
Phil1136-12_2012	Eastern Mediterranean	
QH61_2015	Eastern Mediterranean	
QY1_2015	Eastern Mediterranean	
R3-07-2_2007	Western Mediterranean	
SKN25_2015	Eastern Mediterranean	
Sep-63_Unknown	Eastern Mediterranean	
UBA11147_Unknown	Western Mediterranean	
UBA11435_Unknown	America	
UBA8483_Unknown	Western Mediterranean	
UBA8756_Unknown	America	
UK14-06_2006	Africa	
UK19-04_2005	Africa	
UK22-04_2004	Africa	
UK22-06_2006	Eastern Mediterranean	
UK23-06_2006	Africa	
UK29-05_2005	Eastern Mediterranean	
UK3-06_2006	Eastern Mediterranean	
UK31-99_1999	Western Mediterranean	
UK37-05_2005	Eastern Mediterranean	
Uk24-06_2006	Africa	
VRI-6856-11_2011	Eastern Mediterranean	
VRI4799-15_2015	Eastern Mediterranean	
VRI6530-11_2011	Eastern Mediterranean	
