burnIn   <= 1000000,   maxState  = 10000000
statistic	mean	stdErr	median	hpdLower	hpdUpper	ESS	50hpdLower	50hpdUpper
coalescentEventsStatistic70	983.3065	969.9833	675.5641	1.799E-3	2961.638	3048.507	0.7219	676.0277	
coalescentEventsStatistic71	810.282	798.9183	570.0367	0.0656	2424.2606	3442.1075	0.3525	570.2726	
coalescentEventsStatistic72	749.7573	737.6616	521.029	0.0829	2239.4835	2949.6664	0.6868	521.4575	
coalescentEventsStatistic73	706.2796	669.9315	502.6909	0.0354	2078.1531	2352.7123	0.0354	502.6909	
coalescentEventsStatistic74	694.3575	643.1175	510.9697	5.4328E-4	1963.4436	2353.9826	5.4328E-4	510.9697	
coalescentEventsStatistic75	716.6641	663.6581	530.3213	0.1331	2074.7889	2937.4102	0.1331	530.3213	
coalescentEventsStatistic76	781.9245	750.5643	557.5472	0.0168	2269.1421	2418.3253	0.0168	557.5472	
coalescentEventsStatistic77	922.4783	918.9123	645.8656	0.2356	2821.1401	2497.4072	0.2356	645.8656	
coalescentEventsStatistic78	1449.0318	1384.3812	1000.7529	0.2185	4344.4603	2409.475	1.7103	1001.6422	
coalescentEventsStatistic79	3642.4998	2080.444	3641.4895	0.075	7089.2448	2666.6526	1951.8814	5145.2652	
coalescentEventsStatistic80	1745.2425	1364.9681	1454.6078	0.4673	4481.4841	3978.9963	9.9319	1462.6886	
coalescentEventsStatistic81	1257.7104	951.9919	1073.2227	0.1577	3023.7729	3898.825	0.1577	1073.2227	
coalescentEventsStatistic82	1166.6951	826.102	1045.4795	0.5275	2677.0416	3725.0725	18.7518	1063.1468	
coalescentEventsStatistic83	1136.1351	918.3342	915.9831	0.219	2966.6974	3719.9465	0.6695	916.0261	
coalescentEventsStatistic84	3763.6762	987.6932	3786.6152	1937.9941	5864.9934	3530.519	3108.4738	4340.0617	
coalescentEventsStatistic85	2580.186	1630.4589	2428.8772	0.2192	5496.5709	1212.2178	626.4832	2973.0293	
coalescentEventsStatistic86	4130.1407	1881.7117	4129.8119	450.8377	7660.5459	1500.5717	2854.6439	5492.547	
coalescentEventsStatistic87	3376.9084	1653.5996	3354.2514	1.3069	6117.1002	1841.9093	2391.9149	4706.5618	
coalescentEventsStatistic88	1519.3447	1072.0183	1346.9173	0.1195	3517.2543	1594.4526	0.5812	1347.1789	
coalescentEventsStatistic89	1553.8108	522.09	1543.8959	423.8407	2582.517	3097.7085	1183.2249	1819.0764	
coalescentEventsStatistic90	5839.2714	696.1985	5859.9619	4468.3237	7188.9384	879.6713	5461.8007	6379.4578	
coalescentEventsStatistic91	718.1677	388.4042	729.1933	0.2578	1348.2093	2452.0804	521.3804	1035.2912	
coalescentEventsStatistic92	568.3339	307.976	580.6383	0.023	1078.8764	2623.9222	420.2489	845.7436	
coalescentEventsStatistic93	609.3308	281.3423	630.752	0.0397	1027.7498	1670.0203	476.5807	812.6482	
coalescentEventsStatistic94	2494.6004	617.4586	2517.3964	1308.027	3642.2615	554.9333	2147.0411	3004.9186	
coalescentEventsStatistic95	683.1224	416.2839	649.4614	0.0186	1422.1009	955.6102	293.5037	899.2103	
coalescentEventsStatistic96	2512.103	351.6938	2515.29	1810.7827	3165.6181	479.572	2264.5727	2743.9953	
coalescentEventsStatistic97	4240.6008	236.0899	4240.1411	3778.2464	4695.5681	890.5228	4078.5429	4396.9627	
coalescentEventsStatistic98	330.8283	67.8398	326.8664	207.9118	466.7452	4898.0498	277.3126	368.3951	
coalescentEventsStatistic99	2410.878	104.3635	2409.938	2213.9025	2617.392	441.207	2337.9201	2476.1402	
treeLikelihood	-4635883.1354	16.2428	-4635882.8795	-4635914.5045	-4635850.6604	265.3684	-4635892.3669	-4635871.0914	
branchRates	0	0	0	0	0	NaN	0	0	
coalescent	-1429.345	20.8897	-1428.9855	-1469.9359	-1388.4799	440.7223	-1442.4942	-1414.6984	

