Sample_ID	Genbank accession	SRA accession	Collection Date	Host	Country*	Region	Sequence type (ST)	Biovar	Lineage	Global phylogeny	Temporal analysis	cgMLST analysis	cgMLST Complex	BAPS
2011-TE-4471-1-1	NA	SRR6957953	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	no	no	yes	C19	BAPS5
2011-TE-4467-1-1	NA	SRR6957952	2011	SHEEP	ITALY	SICILIA	11	3	West Mediterranean	yes	yes	yes	C19	BAPS5
2011-TE-11810-1-1	NA	SRR6957951	2011	GOAT	ITALY	SICILIA	11	3	West Mediterranean	yes	no	yes	C5	BAPS5
2016-TE-6008-1-1	NA	SRR6957950	2016	IBEX	ITALY	VALLE D'AOSTA	11	3	West Mediterranean	yes	yes	yes	none	BAPS4
2017-TE-3072-1-1	NA	SRR6957949	2017	HUMAN	ITALY	PIEMONTE	11	1	West Mediterranean	yes	yes	yes	none	BAPS5
2015-TE-11849-1-3	NA	SRR6957948	2015	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	yes	yes	yes	C2	BAPS4
2015-TE-16142-1-1	NA	SRR6957947	2015	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	yes	yes	yes	C2	BAPS4
2014-TE-16510-1-2	NA	SRR6957946	2014	GOAT	ITALY	LAZIO	11	3	West Mediterranean	yes	no	yes	C2	BAPS4
2015-TE-16181-1-1	NA	SRR6957945	2015	GOAT	ITALY	LAZIO	11	3	West Mediterranean	yes	no	yes	C2	BAPS4
2015-IS-2529-1-14	NA	SRR6957944	2015	GOAT	ITALY	MOLISE	11	3	West Mediterranean	yes	no	yes	C2	BAPS4
2015-TE-21825-1-1	NA	SRR6957943	2015	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	yes	no	yes	C2	BAPS4
2016-TE-705-1-1	NA	SRR6957942	2016	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2015-TE-16200-1-1	NA	SRR6957941	2015	SHEEP	ITALY	LAZIO	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2015-TE-16173-1-1	NA	SRR6957940	2015	GOAT	ITALY	LAZIO	11	3	West Mediterranean	no	no	yes	C2	BAPS4
2015-IS-3413-1-7	NA	SRR6957939	2015	SHEEP	ITALY	MOLISE	11	3	West Mediterranean	no	no	yes	C2	BAPS4
1950_NA_GCA_000192725.1	GCA_000192725.1	NA	1950	NA	NA	NA	8	NA	East Mediterranean	yes	no	no	NA	BAPS3
1951_NA_GCA_900446095.1	GCA_900446095.1	NA	1951	NA	NA	NA	39	3	East Mediterranean	yes	yes	no	NA	BAPS3
1956_CHINA_GCA_000292165.2	GCA_000292165.2	NA	1956	NA	CHINA	NA	8	1	East Mediterranean	yes	yes	no	NA	BAPS3
1957_CHINA_GCA_003993905.1	GCA_003993905.1	NA	1957	GOAT	CHINA	NA	8	1	East Mediterranean	yes	no	no	NA	BAPS3
1957_CHINA_GCA_003993955.1	GCA_003993955.1	NA	1957	HUMAN	CHINA	NA	8	3	East Mediterranean	yes	no	no	NA	BAPS3
1962_MALTA_GCA_000365865.1	GCA_000365865.1	NA	1962	NA	MALTA	NA	7	NA	American	yes	yes	no	NA	BAPS1
1962_MALTA_GCA_003452115.1	GCA_003452115.1	NA	1962	NA	MALTA	NA	7	NA	American	yes	no	no	NA	BAPS1
