# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jan 05 11:23:39 EST 2022 [seed=1641399818326]
# -threads 32 ST11BeastTest.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
34000	-28829.06885590784	-506.12986745557316	-28322.938988452268	1956.954638513026	60.04536148697389	6417.065288392488	145.49982445433525	0.9304758394548941	1.1875995227357712	0.9356614783355548	0.8763688434210732	1.216423444701742	0.8534708713509653	34.256641695347675	1.9320372419443622E-4	1.9320372419443624E-4	-28322.938988452268	0.0	-293.6939166295796
35000	-28807.5466343666	-495.02575815901344	-28312.52087620759	2153.004569602822	-136.0045696028219	6812.21785838083	132.88369441964534	0.9343809482210302	1.1785943715068432	0.9418946329953255	0.8635332409538322	1.234585325931777	0.8470114803911926	28.29675806233088	1.8341894209225582E-4	1.8341894209225577E-4	-28312.52087620759	0.0	-307.1718803586595
36000	-28784.081593678162	-486.135991284546	-28297.945602393615	2085.53418704737	-68.53418704736987	6652.41317586107	138.23128917565293	0.9269021783157101	1.189379180283366	0.9378716313957965	0.8635332409538322	1.248738651688595	0.833575117362701	25.76608449095575	1.8989310697640888E-4	1.898931069764088E-4	-28297.945602393615	0.0	-297.9528949804822
37000	-28782.178502471306	-482.8364864328137	-28299.342016038492	2069.1644659758635	-52.16446597586355	6690.103298987392	141.04807661710893	0.927537092511635	1.1882998650590932	0.9295941401567904	0.8590351204511126	1.26568267892118	0.8298511029001895	21.29532069179954	1.9310482860035325E-4	1.9310482860035327E-4	-28299.342016038492	0.0	-300.7439253248717
38000	-28768.001881513228	-482.41665519651326	-28285.585226316714	2082.1889126925516	-65.18891269255164	6710.242233312087	140.04199491840674	0.922522726544784	1.1971737633446284	0.9229512306959591	0.8567275704578864	1.2686896745153613	0.8319350344413814	22.899252820405156	1.846520951231848E-4	1.846520951231848E-4	-28285.585226316714	0.0	-298.1990252152567
39000	-28751.043507940056	-489.90152939951975	-28261.141978540538	2076.819022172805	-59.819022172805035	6712.828237221525	125.64564011749371	0.9282124107982921	1.2084912797166159	0.9302108619246693	0.8463526864784747	1.2686896745153613	0.8180430865665873	26.774812106334455	1.8604628073612726E-4	1.8604628073612723E-4	-28261.141978540538	0.0	-312.3157308732918
40000	-28741.406372933452	-493.4871479833074	-28247.919224950143	2083.717627785333	-66.7176277853332	6802.0881412633125	137.83817476539573	0.9362385500581265	1.2084912797166159	0.9198505658858955	0.8400759819702429	1.2779027013986053	0.8174409209705146	25.98129048291127	1.8545818835842966E-4	1.8545818835842963E-4	-28247.919224950143	0.0	-305.2914394858309
41000	-28731.880079399696	-506.13922283702226	-28225.740856562676	2189.4569588414734	-172.45695884147335	7098.698088413559	150.60859485210534	0.9456523416231958	1.215735002543458	0.9198505658858955	0.8366525627721688	1.2697550127732142	0.8123545144020683	27.9287576435756	1.795192764726626E-4	1.7951927647266263E-4	-28225.740856562676	0.0	-301.30292404037954
42000	-28727.87836079121	-495.31607326425467	-28232.562287526955	2147.825676269179	-130.82567626917898	6984.338426177229	142.98841540474328	0.9504060345514724	1.221783276271604	0.8982170173846932	0.8366525627721688	1.2832456916304182	0.8096954173896437	25.494392492880152	1.7324674005034251E-4	1.7324674005034254E-4	-28232.562287526955	0.0	-303.0426858202777
43000	-28708.18158405568	-498.8136377344796	-28209.367946321203	2021.5796367436562	-4.579636743656238	6683.12660439516	134.15875598225924	0.9460799066862312	1.2382508514028043	0.8999445193347843	0.8329088792330981	1.2828341863322534	0.7999816570108291	29.997095525998574	1.8501245585955168E-4	1.850124558595517E-4	-28209.367946321203	0.0	-306.2831605083629
44000	-28702.895263606464	-496.9776318339117	-28205.917631772554	2087.4010529890797	-70.40105298907974	6835.753207633133	148.81236066007148	0.9427564911586561	1.2433371695245006	0.9022808038879101	0.8283987523497025	1.2808386096772566	0.8023881734019747	26.86990864121155	1.833573107774166E-4	1.8335731077741667E-4	-28205.917631772554	0.0	-296.04678359759447
45000	-28680.560296922922	-498.31070406022656	-28182.249592862696	2259.974708414157	-242.9747084141568	7251.311691870453	143.11792506856384	0.9431465375211753	1.258561289229461	0.910209206276663	0.8171851868231241	1.286013007764009	0.7848847723855679	25.37804810682837	1.7558670983377456E-4	1.7558670983377464E-4	-28182.249592862696	0.0	-306.0893235904338
46000	-28673.799549180116	-509.03268324416774	-28164.766865935948	2138.8490108245524	-121.84901082455235	7072.078945787916	140.48577954546653	0.9288219601834824	1.2639415404309713	0.9149742898057593	0.8171851868231241	1.2901447376005983	0.7849322851560648	29.162635295975388	1.8022043764983681E-4	1.8022043764983687E-4	-28164.766865935948	0.0	-311.847436894278
47000	-28645.074472337914	-494.9899935006982	-28150.084478837216	2121.1173084815036	-104.11730848150364	6999.017007275024	141.86232421591387	0.9093187281610693	1.2805734738135668	0.9149742898057593	0.8105211041269629	1.303659687243843	0.7809527168487991	23.747446146028267	1.8022043764983681E-4	1.8022043764983681E-4	-28150.084478837216	0.0	-307.2665556464099
48000	-28656.821531084075	-518.0740677169663	-28138.747463367108	2336.0694307733456	-319.06943077334563	7492.169849486163	134.91710399952706	0.9156148742518886	1.2805734738135668	0.9033818327367019	0.8174012673751216	1.303659687243843	0.7793688645788784	30.95909179431883	1.6758781931183118E-4	1.6758781931183126E-4	-28138.747463367108	0.0	-322.94870927886274
49000	-28638.77001098698	-513.9224498938593	-28124.84756109312	2158.4722577660154	-141.47225776601545	7226.965260216317	155.81085814351513	0.9065279879229493	1.2731743843740366	0.9149613101084573	0.8066541626544358	1.3210658343008488	0.7776163206392728	26.684316547770095	1.6758781931183118E-4	1.6758781931183115E-4	-28124.84756109312	0.0	-306.4793132387724
50000	-28632.572019200674	-506.3909287742797	-28126.181090426395	2322.1996148098174	-305.1996148098174	7486.488831260749	150.92526564740038	0.9151146913953746	1.283300911881541	0.919333286787872	0.800923669657838	1.3206870405597595	0.7606403997176152	24.874700976090317	1.6797789521700457E-4	1.679778952170046E-4	-28126.181090426395	0.0	-307.42268037793406
51000	-28631.48527146705	-505.51335583297066	-28125.97191563408	2311.1983945751604	-294.19839457516036	7488.110578659352	133.57060147970944	0.9151146913953746	1.283300911881541	0.9209820484742117	0.7994361238969989	1.3206870405597595	0.7604791837921145	24.453355015297973	1.7052676797127254E-4	1.7052676797127246E-4	-28125.97191563408	0.0	-324.71568322371553
52000	-28623.217440618726	-513.7444380020997	-28109.473002616625	2313.622227223678	-296.6222272236778	7510.889399055671	138.10625138969883	0.8989297272646273	1.283300911881541	0.9195284256981643	0.8008897466730464	1.3368720046905067	0.7604791837921145	27.371426380445786	1.698172285986294E-4	1.6981722859862945E-4	-28109.473002616625	0.0	-322.58002109038483
53000	-28617.106195946522	-514.9347091307945	-28102.17148681573	2316.971198089966	-299.97119808996604	7572.856300697315	151.609208842298	0.8959497245925775	1.283300911881541	0.914794881634328	0.8008897466730464	1.3389315323739073	0.7661332028446001	26.207321628041345	1.6688193489746727E-4	1.6688193489746732E-4	-28102.17148681573	0.0	-312.6200760683896
